x,y,value
-13165504.1569,4056985.075,36038
-13158484.1569,4052725.075,154
-13168594.1569,4060105.075,65535
-13167544.1569,4045885.075,65535
-13167634.1569,4053595.075,154
-13168564.1569,4052695.075,154
-13167874.1569,4054495.075,65535
-13158634.1569,4061335.075,65535
-13168234.1569,4054645.075,65535
-13163254.1569,4046185.075,154
-13165444.1569,4050715.075,154
-13160734.1569,4051045.075,154
-13165414.1569,4062355.075,65535
-13162414.1569,4045525.075,65535
-13163614.1569,4052365.075,35988
-13164814.1569,4062805.075,65535
-13162294.1569,4063405.075,37682
-13165264.1569,4058545.075,36038
-13166614.1569,4061575.075,65535
-13162264.1569,4046665.075,154
-13159114.1569,4050325.075,36038
-13157104.1569,4051285.075,154
-13161484.1569,4052185.075,154
-13157014.1569,4059325.075,65535
-13165954.1569,4057195.075,36038
-13157764.1569,4048225.075,65535
-13169014.1569,4063435.075,65535
-13160614.1569,4057195.075,65535
-13165864.1569,4047265.075,65535
-13157554.1569,4050175.075,35988
-13159894.1569,4050685.075,36038
-13160074.1569,4057135.075,65535
-13156414.1569,4059175.075,65535
-13165294.1569,4057675.075,36011
-13160494.1569,4048135.075,65535
-13163734.1569,4053175.075,36038
-13163974.1569,4047985.075,154
-13165744.1569,4061005.075,65535
-13165474.1569,4045675.075,65535
-13162654.1569,4063975.075,37682
-13166824.1569,4050865.075,154
-13159264.1569,4046845.075,65535
-13168264.1569,4053835.075,65535
-13159354.1569,4050085.075,36038
-13157374.1569,4064395.075,65535
-13165504.1569,4059655.075,65535
-13160434.1569,4051255.075,36038
-13156084.1569,4048975.075,36048
-13164124.1569,4054705.075,36038
-13165804.1569,4046635.075,65535
-13162504.1569,4052755.075,35988
-13165414.1569,4053145.075,36038
-13165504.1569,4050985.075,154
-13165624.1569,4054735.075,36038
-13164244.1569,4064695.075,37682
-13161874.1569,4052995.075,154
-13166284.1569,4055155.075,36038
-13163824.1569,4054945.075,35996
-13157524.1569,4052215.075,36003
-13158244.1569,4064395.075,65535
-13162744.1569,4054255.075,36048
-13158694.1569,4061635.075,65535
-13164634.1569,4059985.075,154
-13157554.1569,4055905.075,65535
-13162294.1569,4063165.075,37750
-13160554.1569,4064665.075,65535
-13160404.1569,4057885.075,65535
-13161904.1569,4051195.075,154
-13169914.1569,4052965.075,65535
-13165864.1569,4059145.075,65535
-13163074.1569,4062625.075,37682
-13157464.1569,4046965.075,65535
-13163284.1569,4053355.075,36038
-13167604.1569,4064005.075,65535
-13159474.1569,4062115.075,65535
-13169314.1569,4062115.075,65535
-13166434.1569,4053535.075,36038
-13166764.1569,4045135.075,65535
-13160524.1569,4056595.075,65535
-13157374.1569,4048225.075,65535
-13161004.1569,4045495.075,65535
-13164424.1569,4052035.075,35981
-13168774.1569,4046905.075,65535
-13162234.1569,4045885.075,154
-13156804.1569,4064275.075,65535
-13160554.1569,4051945.075,154
-13168864.1569,4058755.075,65535
-13163824.1569,4057585.075,36025
-13163464.1569,4045645.075,36026
-13163014.1569,4046455.075,154
-13156804.1569,4048435.075,65535
-13167484.1569,4053565.075,154
-13156894.1569,4049935.075,35979
-13163464.1569,4053535.075,36038
-13163464.1569,4059925.075,154
